                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0105,                 4.1312,                 1.9382,                 0.0025,                    0.6,                0.00773,                0.00519,                 1.9216,                 4.3863,                 1.6781,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.9631,                 4.0905,                 1.7668,                0.29756,                0.17854,                 0.0697,                0.05405,                  1.628,                 3.5631,                  1.583,               0.095495,             0.00049505,             0.00049505
                      2,                 1.8788,                 2.6287,                 1.6796,                0.51604,                    0.6,                0.56026,                0.29563,                 1.4513,                 2.1954,                 1.6627,               0.092784,             0.00078416,             0.00078416
                      3,                  1.839,                 1.7066,                 1.8268,                0.77758,                0.71032,                0.86611,                0.54217,                 1.2274,                 1.5832,                  1.513,               0.090067,              0.0010673,              0.0010673
                      4,                 1.8116,                 1.3959,                 1.6997,                0.77496,                    0.8,                  0.736,                0.42741,                  1.312,                 1.6189,                 1.5973,               0.087345,              0.0013446,              0.0013446
                      5,                 1.4863,                 1.1694,                 1.5086,                0.62852,                    0.8,                0.75333,                0.51507,                 1.3072,                 1.7435,                 1.4959,               0.084616,              0.0016158,              0.0016158
                      6,                 1.5969,                 1.0513,                  1.601,                      1,                   0.98,                  0.995,                0.76587,                 1.1238,                0.96576,                 1.1767,               0.081881,              0.0018812,              0.0018812
                      7,                  1.327,                0.87921,                 1.2502,                      1,                 0.9844,                  0.995,                0.74568,                 1.1307,                0.93101,                 1.1481,               0.079141,              0.0021406,              0.0021406
                      8,                 1.4849,                0.88529,                 1.3304,                      1,                0.99925,                  0.995,                0.72585,                 1.1256,                0.76152,                 1.0192,               0.076394,              0.0023941,              0.0023941
                      9,                 1.2882,                0.74026,                 1.2289,                0.99745,                      1,                  0.995,                0.76923,                 1.0759,                0.83499,                 1.0216,               0.073642,              0.0026416,              0.0026416
                     10,                   1.41,                0.93359,                 1.2859,                 0.8229,                      1,                0.96167,                0.71986,                 1.0914,                0.66334,                0.99649,               0.070883,              0.0028832,              0.0028832
                     11,                 1.0067,                0.75191,                 1.2061,                0.99052,                      1,                  0.995,                0.69144,                 1.1665,                0.51043,                 1.0071,               0.068119,              0.0031189,              0.0031189
                     12,                 1.2703,                0.71984,                 1.2954,                0.82632,                      1,                0.96167,                 0.6962,                 1.0775,                0.56798,                 1.0146,               0.065349,              0.0033486,              0.0033486
                     13,                 1.1943,                0.80967,                 1.2372,                0.98457,                      1,                  0.995,                0.65774,                 1.0609,                0.55433,                 1.0304,               0.062572,              0.0035723,              0.0035723
                     14,                  1.651,                 1.0327,                 1.4522,                0.98173,                      1,                  0.995,                0.69439,                0.99133,                0.61542,                 1.0139,                0.05979,              0.0037902,              0.0037902
                     15,                 1.1396,                0.85859,                 1.1835,                0.97027,                      1,                  0.995,                0.80342,                0.95265,                 1.2421,                0.98187,               0.057002,              0.0040021,              0.0040021
                     16,                 1.0897,                0.69087,                 1.1486,                0.99055,                      1,                  0.995,                0.72342,                 1.0597,                0.38495,                 1.0283,               0.054208,               0.004208,               0.004208
                     17,                 1.0325,                0.64486,                  1.149,                0.98284,                      1,                  0.995,                0.73769,                 1.0335,                0.47447,                 1.0403,               0.051408,               0.004408,               0.004408
                     18,                 1.0568,                0.61144,                 1.1237,                0.99131,                      1,                  0.995,                0.71832,                 1.0173,                0.82539,                 1.0065,               0.048602,              0.0046021,              0.0046021
                     19,                0.93813,                0.67125,                 1.0516,                0.99847,                      1,                  0.995,                0.67542,                 1.0414,                0.52941,                 1.0303,                0.04579,              0.0047902,              0.0047902
                     20,                 1.2402,                0.63434,                 1.2393,                0.99871,                      1,                  0.995,                0.70717,                 0.9618,                0.51732,                  1.008,               0.042972,              0.0049724,              0.0049724
                     21,                 1.2778,                 0.8835,                 1.1454,                0.99612,                      1,                  0.995,                0.64636,                 1.0201,                0.62867,                 1.0284,               0.040149,              0.0051487,              0.0051487
                     22,                0.94712,                0.70875,                 1.0729,                  0.991,                      1,                  0.995,                0.71424,                  1.001,                0.59179,                 1.0149,               0.037319,               0.005319,               0.005319
                     23,                 1.0695,                0.72035,                 1.1207,                0.98859,                      1,                  0.995,                0.69535,                 1.1037,                0.58207,                 1.0535,               0.034483,              0.0054833,              0.0054833
                     24,                 1.1843,                0.58664,                 1.1072,                0.98944,                      1,                  0.995,                0.59723,                 1.3024,                 0.5805,                 1.1043,               0.031642,              0.0056418,              0.0056418
                     25,                 1.2076,                0.59334,                 1.1478,                0.98665,                      1,                  0.995,                0.77316,                0.93412,                0.55374,                0.97872,               0.028794,              0.0057942,              0.0057942
                     26,                 1.1573,                0.54689,                 1.1017,                0.98916,                      1,                  0.995,                0.63611,                 1.2734,                0.50251,                 1.0848,               0.025941,              0.0059408,              0.0059408
                     27,                  1.161,                0.52838,                 1.2788,                 0.9929,                      1,                  0.995,                0.80496,                0.84688,                0.41711,                0.89767,               0.023081,              0.0060814,              0.0060814
                     28,                 1.1314,                0.53374,                 1.0983,                 0.9929,                      1,                  0.995,                0.80496,                0.84688,                0.41711,                0.89767,               0.020216,              0.0062161,              0.0062161
                     29,                 1.0792,                0.62925,                 1.1617,                0.98954,                      1,                  0.995,                0.71511,                 1.0542,                0.42879,                 1.0423,               0.017345,              0.0063448,              0.0063448
                     30,                 1.0815,                0.59294,                 1.0826,                0.98657,                      1,                  0.995,                0.77528,                 1.0433,                0.59219,                0.93908,               0.014468,              0.0064676,              0.0064676
                     31,                 1.1625,                 0.7307,                 1.1833,                0.99112,                      1,                  0.995,                0.74867,                 1.0437,                0.73976,                0.94957,               0.011584,              0.0065844,              0.0065844
                     32,                0.91381,                0.64962,                 1.0841,                0.99112,                      1,                  0.995,                0.74867,                 1.0437,                0.73976,                0.94957,              0.0086954,              0.0066954,              0.0066954
                     33,                  1.028,                0.63268,                 1.0936,                0.99118,                      1,                  0.995,                0.73781,                 1.0885,                0.48175,                  1.011,               0.006733,               0.006733,               0.006733
                     34,                0.85326,                 0.5851,                 1.0064,                0.99118,                      1,                  0.995,                 0.7398,                0.99972,                0.80732,                0.98893,               0.006733,               0.006733,               0.006733
                     35,                0.93954,                0.68854,                 1.0325,                0.98948,                      1,                  0.995,                 0.7685,                0.90523,                0.47997,                0.93191,               0.006634,               0.006634,               0.006634
                     36,                0.97619,                0.68156,                 1.0367,                0.98948,                      1,                  0.995,                 0.7685,                0.90523,                0.47997,                0.93191,               0.006535,               0.006535,               0.006535
                     37,                 1.0329,                 0.6114,                 1.0408,                0.99116,                      1,                  0.995,                0.77206,                0.81871,                0.57676,                0.91009,               0.006436,               0.006436,               0.006436
                     38,                0.93866,                0.51723,                 1.0796,                0.98956,                      1,                  0.995,                0.76795,                0.94379,                0.47229,                0.93521,               0.006337,               0.006337,               0.006337
                     39,                0.93915,                0.56055,                 1.0895,                0.99095,                      1,                  0.995,                0.81964,                0.80902,                0.48468,                0.91254,               0.006238,               0.006238,               0.006238
                     40,                 1.0292,                0.56765,                 1.0701,                0.99095,                      1,                  0.995,                0.81964,                0.80902,                0.48468,                0.91254,               0.006139,               0.006139,               0.006139
                     41,                0.88305,                0.50618,                 1.0255,                0.99004,                      1,                  0.995,                0.77663,                0.84682,                0.41515,                0.93254,                0.00604,                0.00604,                0.00604
                     42,                 0.7581,                0.46282,                0.98482,                0.98995,                      1,                  0.995,                0.78087,                0.87333,                 0.4995,                0.93418,               0.005941,               0.005941,               0.005941
                     43,                0.92227,                0.53285,                 1.0079,                0.99026,                      1,                  0.995,                0.79537,                0.84909,                0.49321,                0.95973,               0.005842,               0.005842,               0.005842
                     44,                0.84171,                0.45881,                 1.0073,                0.99026,                      1,                  0.995,                0.79537,                0.84909,                0.49321,                0.95973,               0.005743,               0.005743,               0.005743
                     45,                0.94673,                0.61851,                 1.0982,                0.98992,                      1,                  0.995,                0.79331,                0.93782,                0.44688,                 1.0143,               0.005644,               0.005644,               0.005644
                     46,                0.84044,                0.51406,                 1.0235,                0.98965,                      1,                  0.995,                0.76002,                0.89859,                0.49808,                 0.9926,               0.005545,               0.005545,               0.005545
                     47,                0.92439,                0.57582,                 1.0141,                0.98946,                      1,                  0.995,                0.75137,                 1.0269,                0.44989,                 1.0364,               0.005446,               0.005446,               0.005446
                     48,                0.97638,                0.50302,                 1.0264,                0.98946,                      1,                  0.995,                0.75137,                 1.0269,                0.44989,                 1.0364,               0.005347,               0.005347,               0.005347
                     49,                0.80816,                0.43421,                 1.0062,                0.98813,                      1,                  0.995,                0.76616,                 1.0096,                0.47156,                 1.0046,               0.005248,               0.005248,               0.005248
                     50,                 0.8011,                0.42527,                0.97596,                0.98256,                      1,                  0.995,                0.74953,                0.99357,                0.50109,                 1.0553,               0.005149,               0.005149,               0.005149
                     51,                 1.1453,                0.57045,                 1.1575,                0.98865,                      1,                  0.995,                0.77308,                0.86034,                0.41973,                0.95012,                0.00505,                0.00505,                0.00505
                     52,                0.94518,                0.67411,                 1.0455,                0.98865,                      1,                  0.995,                0.77308,                0.86034,                0.41973,                0.95012,               0.004951,               0.004951,               0.004951
                     53,                0.92704,                0.54168,                 1.0925,                 0.9846,                      1,                  0.995,                0.78499,                0.83931,                0.47513,                0.92397,               0.004852,               0.004852,               0.004852
                     54,                0.90346,                0.45722,                 1.0217,                0.98837,                      1,                  0.995,                0.76896,                0.86752,                0.43769,                0.94938,               0.004753,               0.004753,               0.004753
                     55,                0.99039,                0.48928,                 1.0394,                0.98972,                      1,                  0.995,                0.83315,                0.85262,                 0.4348,                0.91931,               0.004654,               0.004654,               0.004654
                     56,                0.72784,                0.41845,                0.95995,                0.98972,                      1,                  0.995,                0.83315,                0.85262,                 0.4348,                0.91931,               0.004555,               0.004555,               0.004555
                     57,                0.90735,                0.51806,                 1.0444,                0.98989,                      1,                  0.995,                0.81853,                0.73213,                0.40822,                 0.8782,               0.004456,               0.004456,               0.004456
                     58,                0.76298,                0.46687,                0.98831,                0.98947,                      1,                  0.995,                0.84012,                0.77452,                 0.3582,                0.87183,               0.004357,               0.004357,               0.004357
                     59,                0.85746,                0.51189,                 1.0245,                0.99068,                      1,                  0.995,                 0.8277,                0.72742,                0.34735,                0.85556,               0.004258,               0.004258,               0.004258
                     60,                0.77358,                0.41216,                 1.0127,                0.99068,                      1,                  0.995,                 0.8277,                0.72742,                0.34735,                0.85556,               0.004159,               0.004159,               0.004159
                     61,                0.76183,                0.41767,                 1.0479,                0.99106,                      1,                  0.995,                0.82692,                0.73687,                0.34427,                0.86028,                0.00406,                0.00406,                0.00406
                     62,                0.80472,                0.43268,                0.96688,                0.98921,                      1,                  0.995,                0.81949,                0.80179,                0.38671,                0.86942,               0.003961,               0.003961,               0.003961
                     63,                0.85232,                0.45716,                  1.024,                0.99034,                      1,                  0.995,                0.79647,                0.74333,                0.37764,                0.84804,               0.003862,               0.003862,               0.003862
                     64,                0.83305,                0.45716,                0.99669,                0.99034,                      1,                  0.995,                0.79647,                0.74333,                0.37764,                0.84804,               0.003763,               0.003763,               0.003763
                     65,                0.76875,                0.46208,                0.93552,                0.99094,                      1,                  0.995,                0.77173,                0.78657,                0.39939,                0.86223,               0.003664,               0.003664,               0.003664
                     66,                0.74771,                0.41358,                0.97935,                0.99103,                      1,                  0.995,                0.76669,                0.88335,                0.42514,                0.90244,               0.003565,               0.003565,               0.003565
                     67,                0.85861,                 0.4407,                 1.0174,                0.99073,                      1,                  0.995,                0.77319,                0.88208,                0.39164,                0.89569,               0.003466,               0.003466,               0.003466
                     68,                 0.7861,                0.43032,                0.97042,                0.99073,                      1,                  0.995,                0.77319,                0.88208,                0.39164,                0.89569,               0.003367,               0.003367,               0.003367
                     69,                0.72737,                0.40169,                0.94766,                0.99028,                      1,                  0.995,                0.76268,                0.90576,                0.41992,                0.90089,               0.003268,               0.003268,               0.003268
                     70,                0.76999,                0.42066,                 1.0005,                   0.99,                      1,                  0.995,                0.76189,                0.89279,                0.44479,                0.90062,               0.003169,               0.003169,               0.003169
                     71,                0.83244,                0.46873,                 1.0187,                0.98975,                      1,                  0.995,                0.77002,                0.88473,                0.42018,                0.90413,                0.00307,                0.00307,                0.00307
                     72,                0.59988,                0.37115,                0.95492,                0.98975,                      1,                  0.995,                0.77002,                0.88473,                0.42018,                0.90413,               0.002971,               0.002971,               0.002971
                     73,                0.78658,                0.42348,                0.98699,                0.98957,                      1,                  0.995,                0.77067,                  0.869,                0.39625,                0.89966,               0.002872,               0.002872,               0.002872
                     74,                0.86291,                0.44111,                0.97907,                0.98999,                      1,                  0.995,                0.79921,                 0.8668,                0.41079,                0.89959,               0.002773,               0.002773,               0.002773
                     75,                0.84764,                0.44233,                0.97488,                0.98981,                      1,                  0.995,                0.78443,                0.81479,                0.39282,                0.88194,               0.002674,               0.002674,               0.002674
                     76,                 0.7222,                0.41488,                0.99321,                0.98981,                      1,                  0.995,                0.78443,                0.81479,                0.39282,                0.88194,               0.002575,               0.002575,               0.002575
                     77,                0.76076,                0.41036,                0.97763,                0.98997,                      1,                  0.995,                0.78522,                0.82752,                0.43313,                0.88496,               0.002476,               0.002476,               0.002476
                     78,                0.72085,                0.41009,                0.98576,                0.99035,                      1,                  0.995,                0.77733,                0.80763,                0.41719,                0.87659,               0.002377,               0.002377,               0.002377
                     79,                0.80021,                0.42688,                 0.9621,                0.99044,                      1,                  0.995,                0.79443,                0.82326,                0.39992,                0.88264,               0.002278,               0.002278,               0.002278
                     80,                0.74095,                0.38639,                0.98969,                0.99044,                      1,                  0.995,                0.79443,                0.82326,                0.39992,                0.88264,               0.002179,               0.002179,               0.002179
                     81,                0.63183,                 0.3906,                0.90683,                0.99068,                      1,                  0.995,                0.79537,                0.80267,                0.36298,                0.88566,                0.00208,                0.00208,                0.00208
                     82,                0.62906,                0.37097,                0.94036,                0.99062,                      1,                  0.995,                0.77733,                0.84566,                0.38799,                0.90158,               0.001981,               0.001981,               0.001981
                     83,                0.72052,                0.38061,                0.96393,                0.99069,                      1,                  0.995,                0.81112,                0.80897,                0.37551,                 0.8873,               0.001882,               0.001882,               0.001882
                     84,                0.63301,                0.37932,                0.90418,                0.99069,                      1,                  0.995,                0.81112,                0.80897,                0.37551,                 0.8873,               0.001783,               0.001783,               0.001783
                     85,                0.64001,                0.40528,                0.94609,                 0.9903,                      1,                  0.995,                  0.808,                0.83843,                0.38601,                0.89814,               0.001684,               0.001684,               0.001684
                     86,                0.86628,                0.44352,                 1.0206,                0.99013,                      1,                  0.995,                0.83129,                0.84771,                0.38611,                0.90169,               0.001585,               0.001585,               0.001585
                     87,                0.65272,                0.37904,                0.92669,                0.99007,                      1,                  0.995,                 0.8302,                0.84332,                 0.3694,                0.89681,               0.001486,               0.001486,               0.001486
                     88,                0.66128,                0.40573,                 0.9204,                0.99007,                      1,                  0.995,                 0.8302,                0.84332,                 0.3694,                0.89681,               0.001387,               0.001387,               0.001387
                     89,                0.71349,                 0.3977,                0.90807,                0.99025,                      1,                  0.995,                 0.8302,                0.81205,                0.36661,                0.88364,               0.001288,               0.001288,               0.001288
                     90,                 0.5778,                0.33927,                0.91874,                0.99019,                      1,                  0.995,                 0.8302,                0.75045,                0.35655,                0.86815,               0.001189,               0.001189,               0.001189
                     91,                0.68869,                0.32368,                0.91199,                0.99006,                      1,                  0.995,                0.80922,                0.74121,                0.33793,                0.86818,                0.00109,                0.00109,                0.00109
                     92,                0.56046,                0.29247,                0.90108,                0.99006,                      1,                  0.995,                0.80922,                0.74121,                0.33793,                0.86818,               0.000991,               0.000991,               0.000991
                     93,                 0.6631,                0.31306,                0.95076,                0.99023,                      1,                  0.995,                0.81125,                0.74538,                 0.3335,                0.87182,               0.000892,               0.000892,               0.000892
                     94,                0.61425,                0.32444,                0.88829,                 0.9901,                      1,                  0.995,                0.81125,                0.77335,                0.33558,                0.88079,               0.000793,               0.000793,               0.000793
                     95,                0.68915,                0.35596,                0.97934,                0.99017,                      1,                  0.995,                0.81017,                0.77449,                0.33528,                0.88357,               0.000694,               0.000694,               0.000694
                     96,                0.56096,                 0.2931,                0.89043,                0.99017,                      1,                  0.995,                0.81017,                0.77449,                0.33528,                0.88357,               0.000595,               0.000595,               0.000595
                     97,                0.57184,                0.28889,                 0.9312,                0.99028,                      1,                  0.995,                0.80764,                0.77211,                0.33649,                0.88403,               0.000496,               0.000496,               0.000496
                     98,                0.57045,                0.30335,                0.91727,                 0.9903,                      1,                  0.995,                0.82767,                0.78052,                0.34742,                0.88516,               0.000397,               0.000397,               0.000397
                     99,                0.68125,                0.34152,                0.91643,                0.99029,                      1,                  0.995,                 0.8302,                0.79023,                0.34593,                0.88998,               0.000298,               0.000298,               0.000298
